	PMIT9313_0298	100.0	81	0	0	1	81	1	81	3.1e-39	158.7
	PMIT9313_2802	92.6	68	4	1	1	68	1	67	6.8e-26	114.4
	PMIT9313_1204	95.4	65	2	1	1	65	1	64	2.6e-25	112.5
	PMIT9313_2803	87.0	69	8	1	1	69	1	68	7.5e-25	110.9
	PMIT9313_0287	89.4	66	6	1	1	65	1	66	1.7e-24	109.8
	PMIT9313_2818	92.3	65	4	1	1	65	1	64	2.8e-24	109.0
	PMIT9313_2800	90.9	66	5	1	1	66	1	65	4.8e-24	108.2
	PMIT9313_2801	85.3	68	9	1	1	68	1	67	8.3e-24	107.5
	PMIT9313_1203	89.2	65	6	1	1	65	1	64	1.1e-23	107.1
	PMIT9313_1047	90.8	65	5	1	1	65	1	64	1.8e-23	106.3
	PMIT9303_0548	90.8	65	5	1	1	65	1	64	3.1e-23	105.5
	PMIT9303_3044	89.2	65	6	1	1	65	1	64	5.4e-23	104.8
	PMIT9313_1034	87.7	65	7	1	1	65	1	64	5.4e-23	104.8
	PMIT9313_1037	87.7	65	7	1	1	65	1	64	5.4e-23	104.8
	PMIT9313_2798	87.7	65	7	1	1	65	1	64	9.1e-23	104.0
	PMIT9313_0291	86.2	65	8	1	1	65	1	64	1.2e-22	103.6
	PMIT9313_2821	78.9	71	14	1	1	71	1	70	1.6e-22	103.2
	PMIT9303_2965	77.0	74	14	2	1	72	1	73	2.0e-22	102.8
	PMIT9303_1503	86.2	65	8	1	1	65	9	72	3.5e-22	102.1
	PMIT9313_1222	73.6	87	11	3	1	80	1	82	3.5e-22	102.1
	PMIT9313_0290	87.5	64	7	1	1	64	1	63	4.5e-22	101.7
	PMIT9313_2816	81.5	65	12	0	1	65	1	65	5.9e-22	101.3
	PMIT9313_0292	77.9	68	14	1	1	68	9	75	7.7e-22	100.9
	PMIT9313_0294	72.7	77	19	1	1	75	1	77	7.7e-22	100.9
	PMIT9303_0438	83.3	66	10	1	1	66	1	65	1.0e-21	100.5
